"Name", "Rating", "Description"
"Philips AC3256/20, removes 99.97% airborne pollutants with numerical PM2.5 display, ideal for living room","4.0 out of 5 stars","Vitashield Intelligent purification automatically senses air quality and removes 99.97% airborne pollutants as small as 0.003 microns, 800 times smaller than PM 2.5
Purifies a standard room in just 8 minutes with a CADR of 393 m3/hour (Standard room size is 18 ft by 12 ft with an 8 ft ceiling height)
Ideal for living room/master bedroom; Effective area:31~95m²
AeraSense monitors and displays real-time numerical PM 2.5 levels with professional grade sensing technology
Special AL auto mode effectively removes allergens
Removes 99.90% bacteria and viruses, tested to remove H1N1 virus
Removes 99.99% pollen and house dust mites
Philips is the no.1 brand in Air purifiers in India (Source: Euromonitor International Limited; Consumer Appliances 2018ED)
Warranty: 2 years international
In case of any product queries / issues, please contact the Philips Air customer care on: 18001031235
"
"Oxypure Natural Portables Activated Charcoal Bacteria Allergen & Odor Remover for Refrigerator, 100 gm (Orange)","3.5 out of 5 stars","It is the most easiest & economical way to keep the indoor environment healthy, dry, fresh and odor free. It removes the odor, harmful pollutants, and toxic gases and effectively absorbs excess moisture, molds and mildews present in your living spaces, washrooms, cars, refrigerators, shoes etc.
It has advanced multilayered filtration technology, which makes it different from, other available purifiers. It traps air borne particles of all available in our indoor environment
It is power packed with special activated charcoal along with honeycomb like structured carbon sponge, which helps to trap the pollutants of different particle size found in indian homes.
It is 100% natural, non-toxic, fragrance free. Eco-friendly. It is specially designed for asthma patient.; It can last up to 2 years. Just place the bag in direct sunlight once a month to recharge.
Color: Orange; Material: Jute; Package Contents: 1 Air Purifying Bag
"
"Breathe Fresh Vayu Natural Activated Charcoal Natural Air Purifier for Indoor Pollution Living spaces Kitchen, 500 g (Natural Green)","3.4 out of 5 stars","✓ Improves Health - Relief from germs, bacteria, air-borne chemicals and micro-pollutants. :- Works effectively and efficiently against airborne chemicals, allergens, germs, and micro-pollutants, bacteria which can cause allergies, sneezing and other health issues like headache, nausea in the short run and asthma and heart issues with long exposure.
✓ Feel Fresh – Say goodbye to odors. :- Bamboo Charcoal is the most powerful, eco-friendly and natural odor remover. Say goodbye to smells in washroom, cars, shoes, gym bags, Refrigerators, cupboards, pet areas or any place that bothers you for that matter. Bad smells do not stand a chance with Vayu Natural.
✓ Multiple Benefits – Deodorizer, Air Freshener, Dehumidifier, Anti-Bacterial. :-Activated Charcoal nature’s gift to mankind. It is scientifically tested and validated for its versatile use. It absorbs excess moisture, keeps the space dry and fresh naturally, helps prevent mold and mildew known to trigger allergies and asthma.
✓ Ultra Versatile and Portable – For every corner of your Home. :- Vayu Natural 500g is an ultra versatile Non-Electric, Portable and can fit to any of your need. From living rooms to lobbies, Vayu Natural 500g is your one handy friend.
✓ Best Quality, Ideal Technology with Money Back Guarantee. :- Vayu Natural comes with the best quality Organic, Pharma-grade Bamboo Charcoal, Activated Carbon Cloth and Luxury Linen Exterior. These are scientifically proven and tested as the best and recommended ingredients for an activated charcoal air purifying bag. Get the best performance from the best air purifying bag that you deserve !
"
"Royal Peafowl Car Air Humidifier Diffuser Mini Travel Portable Cool Mist Ultrasonic Air Humidifier","3.0 out of 5 stars","Please use water soluble perfumes as using extra essential oils chokes wick.
Enjoy orignal Aromatherapy & Make your car spa with pure fragnance
180 Degree Rotation to Make Full Humidification. Ultrasonic Atomization Technology
You can drop the aroma oil into the water to make the air fresher. Remove unfavorable odors and smells.
Color May Vary as per the Availability Of Stock.
"
"FINEHEPA Replacement Filter set Compatible with KENT AURA Air Purifier","4.2 out of 5 stars","* Specifically to fit KENT AURA Air Purifier. This filter is to eliminate fine and ultrafine particles, allergens, bacteria, viruses and mold spores and PM 2.5
Odour and gas trapping activated carbon. Eliminate smoke and odours. This HEPA filtration can filter harmful ultrafine pollution particles down to 0.01 microns in size effectively and traps 99.97% airborne allergens and contaminants from the air
* Engineered by FINEHEPA, ,FINEHEPA is not affiliated with KENT and does not manufacture filters for KENT
3 Months Warranty exclusively By AEROFRESH
"
"Purita Classic Car Air Purifier with Multi Layer HEPA Filtration - Grey","3.7 out of 5 stars","ONE OF THE MOST POPULAR PRODUCTS IN HEPA CAR AIR PURIFIERS CATEGORY. Ideal for young kids, pregnant mothers and people who suffer from allergies, nasal stuffiness,cough,sneezing,asthma,etc;
PLEASE NOTE THAT UNLIKE OTHER CHEAPER PRODUCTS WHICH ONLY USE IONIZATION, OUR PRODUCT USES MULTI LAYER HEPA WITH IONIZATION FOR THOROUGH CLEANING. High CADR and unique 360 Degrees air flow allows quicker cleaning of the Car .
MULTI-FILTRATION STAGES : Primary Filter is HEPA Filter: Device include Pre-filter + HEPA Filter + Activated Carbon + Anion, which reduce 99.9% of Allergens,Dust,Pollen,Smoke,Odors,Pet Dander,Formaldehyde,Mold spores and TVOC
PORTABILITY : Suitable not only for cars but also for many small areas such as Desktops. The compact size(2.6*2.6*7.1 inch) makes it a perfect fit for car cup holder.
INTELLIGENT MODE FUNCTION: Pre Built Intelligent mode automatically varies the speed of the air purifiers as per the air quality. This product comes with 1 year of Warranty.
"
"Glen Air Purifier 6033 5 Stages Purification","4.0 out of 5 stars","5 Steps Purification for 99.9% Pure Air ( Pre-Filter + HEPA filter ,Activated carbon , Cold catalyst filter, Built-in loniser )
CADR (Clean Air Delivery Rate) - 230 m³/h || Air quality indicator
Three fan speed || 8 hour timer || Filter replacement indicator || Filter Dimension ( HxWxT ): HEPA 350x245x20mm ,Carbon 350x245x10mm , Catalyst 350x245x10mm
Auto mode function || Sleep mode function || Remote control
Power Consumption - 45W || Maximum room coverage area - 27m² - 36m² ( * Depending on the height of the roof. )
"
"OXYCOATS Blue Fin HVAC Coil Spray Coating","none","Excellent corrosion resistance (passes upto 1000 hrs of salt spray as per ASTM B117.
Excellent resistance tp pitting corrosion on copper due to environmental pollution from untreated gutters , drains and rivers.
Excellent film forming capabilities, resistance to abrasion and fast drying.
"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","4.7 out of 5 stars","Air Purifiers are 100% made in Korea Air Purifier Type- Sleek Air Purifier
Air Purifying Method: Green Anti-flu HEPA Technology. | Reddot Design Award Winner Coverage Area: 355 sq. ft / 33 sq. m. (Air Purifiers Most Suitable for Bed Rooms, Small Offices) | Clean Air Delivery Rate (CADR): 303 cubic m/hr (CADR is Volume of fresh, clean air given in an hour) | Super Silent Operation of Air Purifier
Unique Air Filtration Process- Pre Filter, Patented Urethane Carbon Filter (To Deodorize the air), Our Multi Layered Anti-Flu Green HEPA Filter effectively traps PM2.5 particles allowing only clean air to pass through Optimized Airflow: innovative flow path design allows for a slimmer air purifier design with more efficient and maximum airflow
One Touch Air Speed Adjustment: Four Speed Steps (1-3, Turbo) Real Time Air Quality Indicator: Clean, Low Pollution, Medium Pollution, High Pollution Longest Green Anti-flu HEPA Filter Life: 8500 hours Supply: 230 Volts, 50 Hz. | Power Consumption: 38 Watts. | Noise: 22-49 dB. | Dimensions (WHD): 335 x 686 x 204 mm | Gross Weight: 6.5 Kg
Warranty: 5 years on air purifier motor and 1 year on electrical parts
"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","4.4 out of 5 stars","JAPANESE QUALITY PRODUCTS – Sharp has sold 8 crore products worldwide, equipped with Plasmacluster technology and have been known to provide only original products with advanced Japanese technologies. As a part of our global commitment, Sharp confirm to supply spares and consumables (all replacement filters) for a period of 5 years after the product is discontinued in India.
DUAL PURIFICATION – Sharp Air purifier works on dual purification mode. This indoor air purifier has inbuilt Plasmacluster technology which is certified by 31 global labs and combination of three Passive filters i.e. Highest Grade H14 HEPA Filter, Voluminous Granular Active Carbon Filter and a Pre-Filter that purifies the air with its unique 20° airflow to cover the entire room.
ELEGANT DESIGN – The Sharp Air Purifier is designed in Japan and manufactured under strict quality control to ensure that the product compliments the look & feel required for your bedrooms or living spaces. Sharp certified as JAPAN & ASEAN NO. 1 by Euromonitor International Limited, 2018 brand helps reduces the intake of various toxins & pollutants with every breath.
INCREASED EFFICIENCY – This Air Purifier has superior purifying efficiency as it can clean and purify the air four times in one hour in a room of 200 square feet space. It is suitable for 24 x 7 x 365 days operation and can work full day without any interruptions even in case of non-ventilated room.
BEST IN CLASS FEATURES – Sharp air purifier offers highest grade materials made of ABS material to ensure safety for the users. It has a special HAZE function for Indian conditions. It also has an Auto-restart option, Auto and Manual modes, Dust & Odour sensor & low noise level. These features make this product an ideal choice for homes and thereby saving energy and electricity.
"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","3.6 out of 5 stars","TruSens of USA; TruSens Air Purifiers received distinction for high design quality in the Red Dot Award: Product Design 2019
Warranty: 2 Years Local Manufacturer Warranty (Refer to Product Details for more info)
SMARTER SENSING: Our remote SensorPod monitors the air quality and take action. Placed across the room, SensorPod communicates back to the TruSens purifier so it can automatically adjust its fan speed
CAPTURES AND DESTROYS POLLUTANTS: 360-degree DuPont filtration captures pollutants such as allergens, VOC gases and microscopic particles.
UltraViolet sterilization destroys germs and viruses that can build up on the filter, preventing re-circulation of live germs.
DUAL AIRFLOW: Pure direct proprietary technology splits clean air into two air streams, delivering purified air more comfortably and efficiently throughout the room. Proven to be 24% more efficient.
DETAILED LED DISPLAY: The illuminated, colour-coded display communicates good (blue), moderate (yellow) or poor (red) air quality and a numeric value provides a greater level of detail.
DESIGNED FOR YOU: Our air purifiers were designed with a simple touch controls for all the functions that matter most, including fan speeds, auto-timer, UV mode and filter replacement indicators.
TOTAL ROOM COVERAGE: Most purifiers only shoot air either vertically or straight out. TruSens PureDirect proprietary technology uses two separate airflow streams to maximise air circulation.
For customer support, please contact us at [ 7304419327 ] or [ india.info@acco.com ] from Monday - Friday, 7.00 AM - 3.30 PM
"
"HVH SHOP Solar Power Car Auto Cool Air Vent with Rubber Stripping Car Ventilation Fan","none","Solar powered side window cooling fan
Blows hot air out of the parked car and draws the cool fresh air in
The vent unit is designed to be secure onto the top of a car window
Keeps valuable items safe from hot conditions Solar-powered and no batteries needed
Work Only On Direct Sun Light Because Its Fully Solar Power Operated
"
"Nebelr Car Air Purifier Ionizer - Removes PM2.5, Smoke, Dust and Bad Smell, 9 Million Negative Ion generator, Air Sanitizer - Designed in Japan","3.9 out of 5 stars","★ KILLS 99% of BACTERIA, VIRUSES & GERMS - Negative Ions can quickly kill 99% of all kinds of bacteria, germs and viruses, and remove dust, smoke, PM2.5, bad smell, etc from the air and makes the Air clean to breathe. ★ RELIEVE FROM TOXIC SUBSTANCE & ALLERGIES - Perfect for those who suffer from allergies, stuffiness, cough, sneezing & asthma. It remove toxic substances from the air which are produced by electronic devices. This way you will have less fever, headaches or eyes irritations.
★ HOW DOES IT WORK - With Vertical Air flow, Nebelr Air Ionizer releases 9 Millions of Negative Ions and increases its density in the air and attaches to invisible harmful dust particles like PM2.5, PM10, to form into cluster and fall down on the ground, making them heavy and unable to fly in the air again. Thus, you are left with Clean and Fresh air in the room to breathe. It has NO FILTER as it does not collect any dust inside. NO MAINTENANCE required.
★ HEALTH BENEFITS - Negative Ions are called NATURAL OXIDATION which can refresh your mind and relieve driving fatigue. ★ SUPER CLEAN AIR - Negative Ions are like "VITAMINS IN THE AIR" which benefits people’s health in everyday routine and disease prevention by providing Fresh and Clean Air. ★ AREA COVERED - Its Universal and can be used in any Car, Home or Office. Perfect for areas less than 10 m2 (square meter) or 30m³ (cubic meter).
★ INTERNAL FAN FOR QUICK 360 DEGREE AIR PURIFICATION - Quickly regulates Negative Oxygen Ions in the air to make it clean faster. ★ PORTABLE – Aluminium Alloy body and Tumbler design fits steadily in any car cup holder. Compact size makes it convenient to use in bedroom or office also. ★ LED - Blue LED night light enhances auto decorating. ★ SAFE & ZERO CHEMICALS - Nebelr Car Air Purifier is Eco-friendly as No toxic chemicals generated. It stays cool to touch, safe to use with kids and babies.
★ LOW NOISE - The noise is lower than 30dB, which is almost not heard. ★ EXTENDED USB PORT - Perfect for charging your phones while using the purifier. ★ TWO SPEED MODES - High speed and Low speed mode. ★ AUTO START - It starts automatically when you start your car. ★ USB POWERED - FOR CAR, HOME AND OFFICE – Nebelr Air purifier can also be used to clean up the air in your Car, home bedroom or office desk. DOES NOT INCLUDE USB CHARGER, USE STANDARD 5V USB CHARGER.
"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","4.3 out of 5 stars","Automatically senses and reports air quality levels (PM 2.5, PM 10, VOC, NO2 & overall AQI) on LCD screen and Dyson Link App in real-time; only purifier to report ALL of these separately.
360 degrees Glass HEPA Filter & Tris Impregnated Activated Carbon Filter capture 99.95% of harmful ultra-fine pollutants & allergens as small as PM 0.1.
Patented Air MultiplierTM technology projects over 360 litres of purified air per second across your whole room
350 degrees oscillation ensures proper circulation throughout the room; personalized angle feature
Suitable for medium to large size rooms with coverage area of upto 600 sq.ft.
Energy efficient; Wattage : 40W (at max. setting), Airflow max settings: 361 l/s
Warranty - 2 years. Parts and Labour. Easy returns.
Certified Asthma & Allergy Friendly by AAFA (Asthma and Allergy Foundation of America)
Diffused mode, 10 speed settings, Auto mode, Night mode, Sleep timer, Wi-Fi & Bluetooth enabled. Easy filter change with notification on app / LCD screen when any of the filters need replacement.
Please contact us on: [ 18002586688 ] to avail Free Installation & Setup services or for any other support
Warranty: 2 year international warranty
Power: 40 watts
Includes: Air Purifier, Remote, Power Supply Adapter
"
"Safeoxy Charcoal Air Purifier Bag for Car/Bedroom/Bathroom Dehumidifier Allergen Odour Absorbent (Black Bag 200 Grams)","4.0 out of 5 stars","Easy to use and maintain a pollution free home, Purifies air naturally by reducing bacteria, foul odour, allergens, prevents mould and mildew around you.It is also used in a number of other applications, including respirator masks, the purification of sugarcane and in the recovery of precious metals, especially gold. It is also used in cigarette filters and in the EVAP used in cars
Product cures INDOOR POLLUTION which contain VOC’s (Volatile Organic Compounds) and other harmful pollutants. Indoor air pollution is far more dangerous than outdoor as 90% of our time is spent indoor compared to outdoor.
SafeOxy bag consists of ACTIVATED CARBON which is known for it’s high adsorption and filtration properties wrapped in a eco friendly jute fibre bag.
Kindly place the bag in an area with maximum air flow. The proprietary filtration mechanism will begin to function as it contacts with air. The carbon granules which posses Meso, Micro and Macro pores will adsorb the pollutants from your surrounding and make it safer to breathe! Apart from Indoor pollution cleaning Activated carbon is used in water purification, air filtering and industrial gas processing, for example the removal of siloxanes and hydrogen sulphide from biogas.
USES - Indoor places such as office, bedroom/living room, wardrobe, shoe rack, cars, refrigerator, bathroom, garage
"
"Lasko Negative Ion Generator Rechargeable Personal Air Purifier AP110, Black","4.7 out of 5 stars","Cleans the Air of Atomic Sized Pollutants (e.g viruses) that traditional air purifiers(e.g HEPA air purifiers) leave behind.
TAKE IT ON THE GO: The Lasko AP110 Air Purifier is the perfect travel accessory for those who love to explore without exposure to unsanitary air; Our AP110 model includes a proprietary conductive lanyard which is adjustable and features a break-away connector for extra safety; Wear it around your neck and have a sphere of breathable clean air anywhere you go
RECHARGEABLE AIR PURIFIER: Replacing Batteries becomes a thing of the past, with the LASKO AP110; This portable personal purifier operates for 150+ hours on one single charge ensuring your protection against airborne pollutants such as bacteria and viruses; The perfect accessory to protect you during flu season
BREATHE CLEANER SAFER AIR: The LASKO AP110 is the leading personal air purifier on the market using cutting-edge technology to emit negative ions and push pollutants away from your breathing zone; The LASKO Electrostatic Purification radiates a 3-foot orbit of safer air in any direction, creating a sphere of protection against harmful pollutants
GOODBYE FILTERS: Say goodbye to the hassle of replacing filters; The LASKO AP110 uses the latest technology in air purification; Using electrostatic purification, the AP110 emits millions of negative ions into the air forcing dangerous pollutants, allergens, pet dander or odors out of your sphere of clean breathable air.
"
"Freshwind Non-Electric 100% Activated Charcoal Air Purifier, Deodorizer, Odor Absorber and Dehumidifier for Wardrobe, Fridge,Shoe Rack, Cars and Home - 200g","2.8 out of 5 stars","WHY CHARCOAL: Unlike common household air fresheners that add toxins into the air (we know, it doesn’t make any scents!), our activated bamboo charcoal air freshener is microporous and ABSORBS and filters the air to help remove odors, bacteria, harmful pollutants and allergens, making it a highly effective and superior odor neutralizer. Our bags also work as a dehumidifier to purify the air by wicking excess moisture from the environment, thereby reducing mold and mildew formation.
IDEAS FOR USE: Simply place the bamboo charcoal bag in or near environment. Extra Large Bag (living room, kitchen, pet areas, painted walls), Large Bag (closet, car, fridge-- keep food and produce fresher, longer!), Small Bags (shoes, shoe deodorizer, athletic footwear, gym bags, purse, luggage, backpack, lunch bags)
PERFECT FOR SPORTS & PETS: Smelly gym bags? Cleats? Hockey skates? Sporting equipment? Litter box? Fecal/Urine odor? These natural air purifying bags work as a charcoal odor absorber and and odor eliminator and are chemical free and non toxic, so it’s safe for the little, furry ones and perfect for everyday use
REUSABLE & RECYCLABLE: All charcoal deodorizer bags can be reused for up to two years. To rejuvenate, place natural air purifier bag out directly under the sun for at least one hour every month or as needed. After use, recycle this odor neutralizer back into mother earth by cutting open the beautifully stitched linen bags (it’s okay, it’s for a good cause!), and sprinkle directly into your garden to improve soil quality.
Non-Chemical,Non-Toxic,Odorless 100% Nature coconut shell activated carbon, this air purifier bag can naturally effectively absorb odor moisture mold allergens and harmful pollutants, keep pure environment.
"
